Frame,Person,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight
357,1,924,508,79,79
359,2,293,492,94,94
359,0,927,104,114,113
359,1,907,501,95,95
359,1,294,127,113,113
361,2,293,492,94,94
361,0,927,104,114,113
361,1,907,501,95,95
361,1,294,127,113,113
363,2,293,492,94,94
363,1,907,501,95,95
363,0,927,104,114,113
363,1,294,127,113,113
365,2,293,492,94,94
365,1,907,501,95,95
365,0,920,100,136,137
365,1,284,100,136,137
367,1,297,100,137,137
367,2,293,492,94,94
367,0,920,100,136,137
367,1,907,501,95,95
369,3,284,87,136,136
369,2,293,492,94,94
369,0,920,100,136,137
369,1,916,492,95,94
371,1,284,87,136,136
371,2,293,492,94,94
371,1,916,492,95,94
371,0,920,100,136,137
373,1,284,87,136,136
373,0,920,100,136,137
373,2,271,484,113,114
373,1,907,501,95,95
375,1,284,87,136,136
375,0,927,104,114,113
375,2,282,495,114,114
375,1,907,501,95,95
377,1,284,100,136,137
377,0,927,104,114,113
377,2,271,484,113,114
377,1,916,492,95,94
379,1,284,100,136,137
379,2,283,501,95,95
379,0,927,104,114,113
379,1,916,492,95,94
381,1,294,115,113,114
381,2,271,484,113,114
381,0,920,100,136,137
381,1,916,492,95,94
383,11,294,115,113,114
383,0,920,100,136,137
383,2,271,484,113,114
383,1,904,484,114,114
385,1,916,492,95,94
385,1,294,127,113,113
385,0,920,100,136,137
385,2,271,484,113,114
387,11,284,100,136,137
387,1,916,501,95,95
387,0,920,100,136,137
387,2,283,501,95,95
389,2,283,501,95,95
389,1,294,127,113,113
389,0,920,100,136,137
389,1,897,501,95,95
391,2,283,501,95,95
391,1,294,127,113,113
391,0,920,100,136,137
391,1,893,484,113,114
393,2,283,501,95,95
393,1,294,127,113,113
393,0,920,100,136,137
393,1,897,492,95,94
395,2,283,501,95,95
395,1,294,127,113,113
395,0,920,100,136,137
395,1,897,501,95,95
397,1,294,127,113,113
397,2,283,501,95,95
397,0,920,100,136,137
397,1,881,507,114,114
399,1,294,127,113,113
399,0,920,100,136,137
399,2,283,501,95,95
399,1,881,507,114,114
401,1,294,127,113,113
401,0,920,100,136,137
401,2,293,501,94,95
401,1,897,511,95,95
403,1,294,115,113,114
403,0,920,100,136,137
403,2,293,501,94,95
403,1,897,511,95,95
405,1,294,115,113,114
405,0,920,100,136,137
405,2,293,501,94,95
405,1,897,501,95,95
407,1,294,127,113,113
407,0,920,100,136,137
407,2,293,501,94,95
407,1,897,501,95,95
409,1,294,115,113,114
409,0,920,100,136,137
409,1,897,501,95,95
409,2,293,501,94,95
411,1,294,115,113,114
411,0,920,100,136,137
411,1,897,501,95,95
411,2,271,484,113,114
413,1,294,115,113,114
413,1,897,492,95,94
413,0,920,100,136,137
413,2,293,501,94,95
415,1,294,127,113,113
415,1,897,501,95,95
415,0,920,100,136,137
415,2,293,501,94,95
417,1,294,127,113,113
417,2,283,501,95,95
417,0,920,100,136,137
417,1,907,501,95,95
419,1,294,127,113,113
419,2,283,501,95,95
419,0,920,100,136,137
419,1,893,484,113,114
421,2,283,501,95,95
421,1,294,127,113,113
421,0,920,100,136,137
421,1,916,500,79,79
423,2,293,501,94,95
423,1,294,127,113,113
423,0,920,100,136,137
423,1,897,501,95,95
425,0,920,100,136,137
425,1,294,127,113,113
425,1,897,501,95,95
425,2,293,501,94,95
427,0,920,100,136,137
427,1,294,127,113,113
427,2,293,501,94,95
427,1,907,501,95,95
429,2,293,501,94,95
429,0,920,100,136,137
429,1,294,127,113,113
429,1,897,501,95,95
431,2,283,501,95,95
431,1,897,501,95,95
431,0,920,100,136,137
431,1,294,127,113,113
433,2,283,501,95,95
433,1,897,501,95,95
433,0,920,100,136,137
433,1,294,127,113,113
435,2,283,501,95,95
435,1,294,127,113,113
435,0,920,100,136,137
435,1,897,501,95,95
437,2,283,501,95,95
437,0,927,104,114,113
437,1,294,127,113,113
437,1,897,501,95,95
439,1,294,127,113,113
439,2,283,501,95,95
439,0,927,104,114,113
439,1,907,501,95,95
441,1,294,127,113,113
441,2,283,501,95,95
441,0,927,115,114,114
441,1,897,501,95,95
443,1,294,127,113,113
443,2,283,501,95,95
443,0,927,115,114,114
443,1,907,492,95,94
445,1,294,127,113,113
445,2,283,501,95,95
445,1,907,492,95,94
445,0,920,100,136,137
447,1,294,127,113,113
447,0,920,100,136,137
447,2,283,501,95,95
447,1,907,492,95,94
449,1,294,127,113,113
449,0,920,100,136,137
449,2,283,501,95,95
449,1,907,492,95,94
451,1,294,127,113,113
451,0,920,100,136,137
451,2,283,501,95,95
451,1,916,501,95,95
453,1,294,127,113,113
453,0,920,100,136,137
453,2,283,501,95,95
453,1,907,501,95,95
455,1,294,127,113,113
455,0,920,100,136,137
455,2,283,501,95,95
455,1,907,501,95,95
457,1,294,127,113,113
457,0,920,100,136,137
457,2,283,501,95,95
457,1,907,501,95,95
459,1,294,127,113,113
459,2,283,501,95,95
459,0,920,100,136,137
459,1,907,501,95,95
461,1,294,127,113,113
461,2,283,501,95,95
461,0,920,100,136,137
461,1,907,501,95,95
463,1,294,127,113,113
463,2,283,501,95,95
463,0,920,100,136,137
463,1,907,501,95,95
465,1,294,127,113,113
465,0,920,100,136,137
465,2,283,501,95,95
465,1,907,501,95,95
467,1,294,127,113,113
467,0,920,100,136,137
467,2,271,484,113,114
467,1,907,501,95,95
469,1,294,127,113,113
469,0,920,100,136,137
469,2,271,484,113,114
469,1,907,501,95,95
471,1,294,127,113,113
471,0,920,87,136,136
471,2,271,484,113,114
471,1,907,501,95,95
473,1,294,127,113,113
473,0,920,87,136,136
473,2,271,484,113,114
473,1,924,508,79,79
475,1,294,127,113,113
475,0,920,87,136,136
475,2,283,501,95,95
475,1,924,508,79,79
477,1,294,127,113,113
477,0,920,87,136,136
477,2,283,501,95,95
477,1,907,501,95,95
479,1,294,127,113,113
479,2,283,501,95,95
479,0,920,87,136,136
479,1,907,501,95,95
481,1,294,127,113,113
481,2,283,501,95,95
481,0,920,87,136,136
481,1,924,508,79,79
483,1,294,115,113,114
483,2,283,501,95,95
483,0,920,87,136,136
483,1,907,511,95,95
485,1,294,115,113,114
485,2,283,501,95,95
485,1,907,511,95,95
485,0,920,87,136,136
487,1,294,127,113,113
487,2,283,501,95,95
487,1,907,511,95,95
487,0,920,87,136,136
489,1,294,127,113,113
489,2,283,501,95,95
489,1,907,511,95,95
489,0,920,87,136,136
491,1,294,127,113,113
491,2,283,501,95,95
491,0,920,87,136,136
491,1,907,511,95,95
493,2,283,501,95,95
493,1,294,127,113,113
493,0,920,87,136,136
493,1,907,511,95,95
495,2,283,501,95,95
495,1,294,127,113,113
495,0,920,87,136,136
495,1,907,511,95,95
497,2,283,501,95,95
497,1,294,127,113,113
497,0,920,87,136,136
497,1,907,511,95,95
499,2,283,501,95,95
499,1,294,127,113,113
499,0,920,87,136,136
499,1,907,511,95,95
501,2,283,501,95,95
501,1,907,511,95,95
501,0,920,87,136,136
501,1,284,114,136,137
503,2,283,501,95,95
503,1,284,114,136,137
503,0,920,87,136,136
503,1,907,511,95,95
505,2,283,501,95,95
505,1,284,114,136,137
505,1,907,511,95,95
505,0,920,100,136,137
507,2,283,501,95,95
507,1,907,511,95,95
507,1,294,127,113,113
507,0,920,100,136,137
509,2,283,501,95,95
509,1,294,127,113,113
509,0,927,115,114,114
509,1,907,511,95,95
511,2,283,501,95,95
511,1,294,127,113,113
511,0,927,115,114,114
511,1,904,507,114,114
513,2,283,501,95,95
513,1,294,127,113,113
513,0,927,115,114,114
513,1,907,501,95,95
515,2,283,501,95,95
515,0,927,115,114,114
515,1,294,127,113,113
515,1,924,508,79,79
517,2,283,501,95,95
517,0,927,115,114,114
517,1,294,115,113,114
517,1,916,492,95,94
519,2,283,501,95,95
519,0,927,104,114,113
519,1,284,100,136,137
519,1,916,501,95,95
521,2,283,501,95,95
521,0,927,104,114,113
521,1,284,100,136,137
521,1,907,501,95,95
523,2,283,501,95,95
523,0,927,104,114,113
523,1,284,100,136,137
523,1,907,501,95,95
525,0,927,104,114,113
525,2,283,501,95,95
525,1,284,100,136,137
525,1,916,492,95,94
527,0,927,104,114,113
527,1,294,127,113,113
527,2,283,501,95,95
527,1,924,508,79,79
529,1,294,127,113,113
529,0,916,104,114,113
529,2,283,501,95,95
529,1,924,500,79,79
531,0,906,87,136,136
531,1,294,127,113,113
531,2,293,501,94,95
531,1,904,484,114,114
533,0,916,104,114,113
533,1,294,127,113,113
533,2,271,484,113,114
533,1,904,472,114,114
535,0,916,104,114,113
535,1,294,127,113,113
535,2,293,501,94,95
535,1,924,500,79,79
537,2,271,484,113,114
537,0,916,104,114,113
537,1,294,127,113,113
537,1,924,500,79,79
539,2,283,501,95,95
539,0,916,104,114,113
539,1,294,127,113,113
539,1,924,500,79,79
541,1,294,127,113,113
541,2,283,501,95,95
541,0,916,104,114,113
541,1,904,484,114,114
543,1,284,100,136,137
543,2,271,484,113,114
543,0,916,104,114,113
543,1,916,492,95,94
545,1,294,127,113,113
545,2,271,484,113,114
545,0,916,104,114,113
545,1,904,484,114,114
547,1,294,127,113,113
547,0,906,100,136,137
547,2,282,495,114,114
547,1,904,484,114,114
549,1,294,127,113,113
549,2,271,484,113,114
549,0,906,100,136,137
549,1,904,495,114,114
551,1,294,127,113,113
551,0,906,87,136,136
551,2,271,484,113,114
551,1,907,511,95,95
553,1,294,127,113,113
553,0,906,100,136,137
553,2,283,501,95,95
553,1,904,507,114,114
555,1,294,127,113,113
555,0,916,104,114,113
555,2,283,501,95,95
555,1,904,507,114,114
557,1,294,127,113,113
557,2,271,484,113,114
557,0,916,104,114,113
557,1,904,507,114,114
559,11,294,127,113,113
559,2,271,484,113,114
559,0,916,104,114,113
559,1,926,520,95,95
561,3,294,127,113,113
561,2,271,484,113,114
561,0,916,104,114,113
561,1,926,520,95,95
563,1,294,127,113,113
563,2,271,484,113,114
563,0,916,104,114,113
563,1,936,511,95,95
565,1,284,100,136,137
565,2,271,484,113,114
565,0,916,104,114,113
565,1,926,520,95,95
567,1,294,127,113,113
567,2,271,484,113,114
567,0,916,104,114,113
567,1,926,520,95,95
569,1,294,127,113,113
569,2,271,484,113,114
569,0,916,104,114,113
569,1,926,520,95,95
571,1,284,100,136,137
571,2,271,484,113,114
571,0,906,87,136,136
571,1,926,520,95,95
573,1,284,100,136,137
573,2,271,484,113,114
573,0,906,100,136,137
573,1,926,520,95,95
575,1,284,100,136,137
575,2,271,484,113,114
